"File","nocrypt-Owner-300-0.sca",
"Run","Owner-300-0-20110908-17:44:42-6119",
"Module","latency:stats:count","latency:stats:mean"
"UCACnet.owner[0]",209,15.3291
"UCACnet.owner[1]",203,15.3747
"UCACnet.owner[2]",195,15.3909
"UCACnet.owner[3]",204,15.3221
"UCACnet.owner[4]",211,15.3409
"UCACnet.owner[5]",196,15.2597
"UCACnet.owner[6]",204,15.3378
"UCACnet.owner[7]",200,15.3354
"UCACnet.owner[8]",215,15.3229
"UCACnet.owner[9]",208,15.3283
"UCACnet.owner[10]",209,15.3411
"UCACnet.owner[11]",206,15.3599
"UCACnet.owner[12]",193,15.3556
"UCACnet.owner[13]",212,15.348
"UCACnet.owner[14]",203,15.3207
"UCACnet.owner[15]",202,15.2904
"UCACnet.owner[16]",203,15.304
"UCACnet.owner[17]",207,15.2823
"UCACnet.owner[18]",206,15.3415
"UCACnet.owner[19]",202,15.3093
"UCACnet.owner[20]",203,15.3339
"UCACnet.owner[21]",203,15.2949
"UCACnet.owner[22]",199,15.3386
"UCACnet.owner[23]",206,15.3471
"UCACnet.owner[24]",209,15.3255
"UCACnet.owner[25]",200,15.3304
"UCACnet.owner[26]",205,15.274
"UCACnet.owner[27]",203,15.3194
"UCACnet.owner[28]",200,15.2892
"UCACnet.owner[29]",205,15.3249
"UCACnet.owner[30]",210,15.2284
"UCACnet.owner[31]",203,15.3591
"UCACnet.owner[32]",213,15.3203
"UCACnet.owner[33]",206,15.2902
"UCACnet.owner[34]",200,15.2921
"UCACnet.owner[35]",211,15.2747
"UCACnet.owner[36]",208,15.3473
"UCACnet.owner[37]",196,15.3135
"UCACnet.owner[38]",197,15.3327
"UCACnet.owner[39]",199,15.3344
"UCACnet.owner[40]",197,15.3726
"UCACnet.owner[41]",195,15.3117
"UCACnet.owner[42]",199,15.3404
"UCACnet.owner[43]",206,15.3478
"UCACnet.owner[44]",200,15.2888
"UCACnet.owner[45]",202,15.2787
"UCACnet.owner[46]",197,15.4106
"UCACnet.owner[47]",205,15.3777
"UCACnet.owner[48]",211,15.3153
"UCACnet.owner[49]",199,15.3456
"UCACnet.owner[50]",208,15.363
"UCACnet.owner[51]",210,15.3469
"UCACnet.owner[52]",210,15.2311
"UCACnet.owner[53]",195,15.3197
"UCACnet.owner[54]",211,15.3416
"UCACnet.owner[55]",204,15.3073
"UCACnet.owner[56]",206,15.3186
"UCACnet.owner[57]",212,15.237
"UCACnet.owner[58]",200,15.3902
"UCACnet.owner[59]",208,15.339
"UCACnet.owner[60]",205,15.313
"UCACnet.owner[61]",198,15.273
"UCACnet.owner[62]",198,15.2806
"UCACnet.owner[63]",203,15.3145
"UCACnet.owner[64]",191,15.3686
"UCACnet.owner[65]",203,15.342
"UCACnet.owner[66]",205,15.3725
"UCACnet.owner[67]",194,15.3421
"UCACnet.owner[68]",196,15.2712
"UCACnet.owner[69]",199,15.3617
"UCACnet.owner[70]",201,15.4121
"UCACnet.owner[71]",204,15.3477
"UCACnet.owner[72]",204,15.4004
"UCACnet.owner[73]",198,15.2983
"UCACnet.owner[74]",198,15.3366
"UCACnet.owner[75]",198,15.3395
"UCACnet.owner[76]",204,15.2983
"UCACnet.owner[77]",209,15.3053
"UCACnet.owner[78]",195,15.3352
"UCACnet.owner[79]",211,15.2951
"UCACnet.owner[80]",201,15.2681
"UCACnet.owner[81]",209,15.2894
"UCACnet.owner[82]",204,15.2732
"UCACnet.owner[83]",187,15.3251
"UCACnet.owner[84]",198,15.3586
"UCACnet.owner[85]",198,15.3098
"UCACnet.owner[86]",210,15.3457
"UCACnet.owner[87]",184,15.3306
"UCACnet.owner[88]",206,15.324
"UCACnet.owner[89]",195,15.324
"UCACnet.owner[90]",200,15.3253
"UCACnet.owner[91]",199,15.2355
"UCACnet.owner[92]",205,15.3175
"UCACnet.owner[93]",201,15.3041
"UCACnet.owner[94]",199,15.2641
"UCACnet.owner[95]",202,15.3745
"UCACnet.owner[96]",199,15.3209
"UCACnet.owner[97]",200,15.3212
"UCACnet.owner[98]",204,15.3148
"UCACnet.owner[99]",202,15.2954
"UCACnet.owner[100]",198,15.3708
"UCACnet.owner[101]",199,15.2781
"UCACnet.owner[102]",204,15.3248
"UCACnet.owner[103]",200,15.3262
"UCACnet.owner[104]",207,15.3272
"UCACnet.owner[105]",200,15.353
"UCACnet.owner[106]",205,15.2975
"UCACnet.owner[107]",206,15.3824
"UCACnet.owner[108]",199,15.3278
"UCACnet.owner[109]",202,15.2735
"UCACnet.owner[110]",196,15.3148
"UCACnet.owner[111]",208,15.3366
"UCACnet.owner[112]",200,15.3674
"UCACnet.owner[113]",204,15.359
"UCACnet.owner[114]",207,15.3022
"UCACnet.owner[115]",208,15.3568
"UCACnet.owner[116]",207,15.2801
"UCACnet.owner[117]",197,15.3525
"UCACnet.owner[118]",194,15.3466
"UCACnet.owner[119]",209,15.2578
"UCACnet.owner[120]",198,15.2911
"UCACnet.owner[121]",201,15.337
"UCACnet.owner[122]",210,15.3375
"UCACnet.owner[123]",219,15.3329
"UCACnet.owner[124]",202,15.3176
"UCACnet.owner[125]",203,15.322
"UCACnet.owner[126]",204,15.2581
"UCACnet.owner[127]",199,15.3821
"UCACnet.owner[128]",205,15.3001
"UCACnet.owner[129]",211,15.2632
"UCACnet.owner[130]",204,15.3502
"UCACnet.owner[131]",204,15.3604
"UCACnet.owner[132]",207,15.3072
"UCACnet.owner[133]",189,15.2915
"UCACnet.owner[134]",205,15.3581
"UCACnet.owner[135]",204,15.2841
"UCACnet.owner[136]",206,15.3645
"UCACnet.owner[137]",209,15.3458
"UCACnet.owner[138]",203,15.3116
"UCACnet.owner[139]",190,15.3643
"UCACnet.owner[140]",201,15.3177
"UCACnet.owner[141]",205,15.3344
"UCACnet.owner[142]",196,15.3157
"UCACnet.owner[143]",201,15.3663
"UCACnet.owner[144]",206,15.2744
"UCACnet.owner[145]",214,15.3171
"UCACnet.owner[146]",200,15.267
"UCACnet.owner[147]",201,15.2669
"UCACnet.owner[148]",202,15.312
"UCACnet.owner[149]",201,15.281
"UCACnet.owner[150]",206,15.2831
"UCACnet.owner[151]",199,15.3837
"UCACnet.owner[152]",203,15.2505
"UCACnet.owner[153]",196,15.3234
"UCACnet.owner[154]",200,15.3211
"UCACnet.owner[155]",205,15.3721
"UCACnet.owner[156]",209,15.3402
"UCACnet.owner[157]",200,15.3252
"UCACnet.owner[158]",197,15.2734
"UCACnet.owner[159]",201,15.3088
"UCACnet.owner[160]",212,15.3055
"UCACnet.owner[161]",200,15.3178
"UCACnet.owner[162]",207,15.3553
"UCACnet.owner[163]",198,15.347
"UCACnet.owner[164]",196,15.3536
"UCACnet.owner[165]",210,15.3147
"UCACnet.owner[166]",199,15.3451
"UCACnet.owner[167]",199,15.3582
"UCACnet.owner[168]",205,15.3131
"UCACnet.owner[169]",192,15.3213
"UCACnet.owner[170]",211,15.2928
"UCACnet.owner[171]",206,15.3127
"UCACnet.owner[172]",210,15.3198
"UCACnet.owner[173]",199,15.2742
"UCACnet.owner[174]",210,15.2044
"UCACnet.owner[175]",203,15.3368
"UCACnet.owner[176]",202,15.4135
"UCACnet.owner[177]",209,15.2954
"UCACnet.owner[178]",207,15.2933
"UCACnet.owner[179]",206,15.2819
"UCACnet.owner[180]",208,15.3263
"UCACnet.owner[181]",205,15.2668
"UCACnet.owner[182]",206,15.3112
"UCACnet.owner[183]",194,15.4119
"UCACnet.owner[184]",210,15.3769
"UCACnet.owner[185]",201,15.3725
"UCACnet.owner[186]",207,15.3408
"UCACnet.owner[187]",200,15.3223
"UCACnet.owner[188]",197,15.2922
"UCACnet.owner[189]",202,15.3084
"UCACnet.owner[190]",196,15.3863
"UCACnet.owner[191]",203,15.3486
"UCACnet.owner[192]",204,15.2998
"UCACnet.owner[193]",204,15.2955
"UCACnet.owner[194]",212,15.3235
"UCACnet.owner[195]",204,15.2997
"UCACnet.owner[196]",209,15.3691
"UCACnet.owner[197]",192,15.3572
"UCACnet.owner[198]",213,15.2784
"UCACnet.owner[199]",211,15.2803
"UCACnet.owner[200]",199,15.2966
"UCACnet.owner[201]",191,15.3427
"UCACnet.owner[202]",199,15.3046
"UCACnet.owner[203]",199,15.3272
"UCACnet.owner[204]",202,15.3602
"UCACnet.owner[205]",195,15.3517
"UCACnet.owner[206]",196,15.3873
"UCACnet.owner[207]",205,15.3019
"UCACnet.owner[208]",202,15.2775
"UCACnet.owner[209]",200,15.3657
"UCACnet.owner[210]",202,15.338
"UCACnet.owner[211]",201,15.3726
"UCACnet.owner[212]",207,15.382
"UCACnet.owner[213]",206,15.3607
"UCACnet.owner[214]",195,15.3335
"UCACnet.owner[215]",213,15.3505
"UCACnet.owner[216]",200,15.3022
"UCACnet.owner[217]",203,15.3588
"UCACnet.owner[218]",205,15.3932
"UCACnet.owner[219]",203,15.3726
"UCACnet.owner[220]",204,15.3034
"UCACnet.owner[221]",193,15.3247
"UCACnet.owner[222]",212,15.3668
"UCACnet.owner[223]",207,15.3475
"UCACnet.owner[224]",208,15.3421
"UCACnet.owner[225]",198,15.3214
"UCACnet.owner[226]",205,15.3242
"UCACnet.owner[227]",188,15.3518
"UCACnet.owner[228]",205,15.3263
"UCACnet.owner[229]",202,15.3305
"UCACnet.owner[230]",205,15.3132
"UCACnet.owner[231]",210,15.3012
"UCACnet.owner[232]",194,15.3363
"UCACnet.owner[233]",199,15.3234
"UCACnet.owner[234]",212,15.2985
"UCACnet.owner[235]",208,15.3284
"UCACnet.owner[236]",204,15.3101
"UCACnet.owner[237]",204,15.2634
"UCACnet.owner[238]",207,15.3291
"UCACnet.owner[239]",213,15.3592
"UCACnet.owner[240]",195,15.354
"UCACnet.owner[241]",210,15.3341
"UCACnet.owner[242]",209,15.3296
"UCACnet.owner[243]",205,15.3098
"UCACnet.owner[244]",202,15.2938
"UCACnet.owner[245]",203,15.3056
"UCACnet.owner[246]",214,15.3381
"UCACnet.owner[247]",203,15.2426
"UCACnet.owner[248]",201,15.3069
"UCACnet.owner[249]",202,15.3602
"UCACnet.owner[250]",210,15.2793
"UCACnet.owner[251]",195,15.2848
"UCACnet.owner[252]",217,15.2314
"UCACnet.owner[253]",206,15.3863
"UCACnet.owner[254]",208,15.2785
"UCACnet.owner[255]",213,15.3449
"UCACnet.owner[256]",206,15.3033
"UCACnet.owner[257]",201,15.3058
"UCACnet.owner[258]",206,15.3329
"UCACnet.owner[259]",196,15.2674
"UCACnet.owner[260]",202,15.3528
"UCACnet.owner[261]",200,15.3336
"UCACnet.owner[262]",205,15.3031
"UCACnet.owner[263]",210,15.3396
"UCACnet.owner[264]",211,15.2867
"UCACnet.owner[265]",191,15.3204
"UCACnet.owner[266]",198,15.3295
"UCACnet.owner[267]",205,15.2528
"UCACnet.owner[268]",203,15.3229
"UCACnet.owner[269]",203,15.3501
"UCACnet.owner[270]",201,15.3239
"UCACnet.owner[271]",206,15.331
"UCACnet.owner[272]",202,15.3573
"UCACnet.owner[273]",199,15.3543
"UCACnet.owner[274]",207,15.3802
"UCACnet.owner[275]",198,15.3872
"UCACnet.owner[276]",205,15.3323
"UCACnet.owner[277]",205,15.3189
"UCACnet.owner[278]",199,15.2915
"UCACnet.owner[279]",214,15.3015
"UCACnet.owner[280]",211,15.3189
"UCACnet.owner[281]",200,15.2786
"UCACnet.owner[282]",212,15.3447
"UCACnet.owner[283]",209,15.2999
"UCACnet.owner[284]",210,15.3362
"UCACnet.owner[285]",202,15.3512
"UCACnet.owner[286]",209,15.2787
"UCACnet.owner[287]",203,15.3589
"UCACnet.owner[288]",198,15.3363
"UCACnet.owner[289]",208,15.3733
"UCACnet.owner[290]",204,15.3215
"UCACnet.owner[291]",210,15.3197
"UCACnet.owner[292]",202,15.3346
"UCACnet.owner[293]",202,15.2707
"UCACnet.owner[294]",197,15.335
"UCACnet.owner[295]",211,15.3
"UCACnet.owner[296]",211,15.3539
"UCACnet.owner[297]",199,15.3406
"UCACnet.owner[298]",200,15.3737
"UCACnet.owner[299]",196,15.3468
"Average",203.14,15.3238796666667
